dir,json_model_name,file,leaderboard,leaderboard_bbh,leaderboard_bbh_boolean_expressions,leaderboard_bbh_causal_judgement,leaderboard_bbh_date_understanding,leaderboard_bbh_disambiguation_qa,leaderboard_bbh_formal_fallacies,leaderboard_bbh_geometric_shapes,leaderboard_bbh_hyperbaton,leaderboard_bbh_logical_deduction_five_objects,leaderboard_bbh_logical_deduction_seven_objects,leaderboard_bbh_logical_deduction_three_objects,leaderboard_bbh_movie_recommendation,leaderboard_bbh_navigate,leaderboard_bbh_object_counting,leaderboard_bbh_penguins_in_a_table,leaderboard_bbh_reasoning_about_colored_objects,leaderboard_bbh_ruin_names,leaderboard_bbh_salient_translation_error_detection,leaderboard_bbh_snarks,leaderboard_bbh_sports_understanding,leaderboard_bbh_temporal_sequences,leaderboard_bbh_tracking_shuffled_objects_five_objects,leaderboard_bbh_tracking_shuffled_objects_seven_objects,leaderboard_bbh_tracking_shuffled_objects_three_objects,leaderboard_bbh_web_of_lies,leaderboard_gpqa,leaderboard_gpqa_diamond,leaderboard_gpqa_extended,leaderboard_gpqa_main,leaderboard_ifeval,leaderboard_math_hard,leaderboard_math_algebra_hard,leaderboard_math_counting_and_prob_hard,leaderboard_math_geometry_hard,leaderboard_math_intermediate_algebra_hard,leaderboard_math_num_theory_hard,leaderboard_math_prealgebra_hard,leaderboard_math_precalculus_hard,leaderboard_mmlu_pro,leaderboard_musr,leaderboard_musr_murder_mysteries,leaderboard_musr_object_placements,leaderboard_musr_team_allocation,leaderboard_arc_challenge
1-800-LLMs_Qwen-2.5-14B-Hindi,1-800-LLMs/Qwen-2.5-14B-Hindi,results_2025-02-06T06-30-20.641880.json,58.55493578933714,64.97135913903837,89.2,65.77540106951871,69.6,64.0,68.8,49.6,76.4,63.6,64.0,91.2,78.8,68.0,52.400000000000006,71.23287671232876,80.4,83.2,67.60000000000001,77.52808988764045,54.800000000000004,91.60000000000001,26.0,22.400000000000002,32.0,57.599999999999994,36.241610738255034,39.8989898989899,36.63003663003663,34.151785714285715,59.88909426987061,25.075528700906347,42.34527687296417,20.32520325203252,12.121212121212121,9.642857142857144,22.727272727272727,40.41450777202073,15.555555555555555,52.62632978723404,44.84126984126984,51.2,38.28125,45.2,
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,results_2025-02-06T11-27-58.645224.json,56.88156699961085,62.575941676792226,90.0,63.101604278074866,65.60000000000001,69.19999999999999,62.0,49.2,75.2,58.4,53.2,88.8,85.6,71.2,51.2,68.4931506849315,72.39999999999999,81.6,62.4,75.84269662921348,72.39999999999999,70.0,22.8,16.8,31.6,51.2,36.99664429530201,40.4040404040404,35.8974358974359,36.830357142857146,29.57486136783734,30.589123867069485,55.048859934853425,21.951219512195124,17.424242424242426,10.0,32.467532467532465,47.15025906735752,12.592592592592592,51.637300531914896,44.84126984126984,56.8,36.71875,41.199999999999996,
1024m_PHI-4-Hindi,1024m/PHI-4-Hindi,results_2025-02-06T05-43-08.878637.json,61.00661564405241,66.96754035757681,94.8,62.56684491978609,76.8,74.8,70.39999999999999,36.8,77.60000000000001,61.199999999999996,48.4,88.8,87.6,72.39999999999999,53.6,71.91780821917808,84.0,90.8,60.4,74.71910112359551,71.6,100.0,25.2,31.2,39.6,55.2,39.76510067114094,40.4040404040404,38.46153846153847,41.07142857142857,0.9242144177449169,23.11178247734139,42.99674267100978,19.51219512195122,9.090909090909092,3.9285714285714284,20.12987012987013,45.07772020725388,6.666666666666667,52.3936170212766,49.074074074074076,57.599999999999994,41.40625,48.4,
1024m_QWEN-14B-B100,1024m/QWEN-14B-B100,results_2025-02-06T10-49-32.966803.json,58.08794915034375,65.11022391945843,89.60000000000001,64.70588235294117,72.8,67.60000000000001,68.4,56.00000000000001,75.6,64.4,60.4,92.0,75.2,68.8,49.2,68.4931506849315,80.0,80.4,64.8,78.65168539325843,59.199999999999996,90.4,22.8,20.0,34.8,63.6,35.06711409395973,32.82828282828283,36.08058608058608,34.82142857142857,76.15526802218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.78690159574468,40.87301587301587,52.800000000000004,25.0,45.2,
152334H_miqu-1-70b-sf,152334H/miqu-1-70b-sf,results_2024-07-26T02-32-43.573766.json,55.40277597613179,60.87484811664642,85.6,61.49732620320856,54.400000000000006,63.6,67.2,43.6,62.4,46.800000000000004,46.400000000000006,78.8,82.8,64.4,48.8,60.273972602739725,75.2,81.2,63.2,73.59550561797754,83.2,78.8,25.2,23.599999999999998,44.0,50.0,35.06711409395973,36.868686868686865,34.24908424908425,35.267857142857146,49.16820702402958,10.80060422960725,16.286644951140065,9.75609756097561,5.303030303030303,3.9285714285714284,5.844155844155844,23.83419689119171,5.9259259259259265,42.278922872340424,45.767195767195766,60.4,39.0625,38.0,
1TuanPham_T-VisStar-7B-v0.1,1TuanPham/T-VisStar-7B-v0.1,results_2024-09-21T10-25-05.082341.json,46.296536515760806,50.32112480472141,80.80000000000001,58.82352941176471,44.4,66.0,51.2,53.6,74.4,48.0,44.4,68.0,56.39999999999999,57.99999999999999,32.4,47.26027397260274,49.6,54.400000000000006,42.8,64.04494382022472,78.0,31.2,15.6,13.600000000000001,30.0,49.6,28.523489932885905,29.292929292929294,28.57142857142857,28.125,37.33826247689464,4.531722054380665,7.491856677524431,2.4390243902439024,1.5151515151515151,1.4285714285714286,3.2467532467532463,10.880829015544041,1.4814814814814816,32.106050531914896,43.65079365079365,53.2,31.25,46.800000000000004,
1TuanPham_T-VisStar-v0.1,1TuanPham/T-VisStar-v0.1,results_2024-09-21T08-53-27.413933.json,46.296536515760806,50.32112480472141,80.80000000000001,58.82352941176471,44.4,66.0,51.2,53.6,74.4,48.0,44.4,68.0,56.39999999999999,57.99999999999999,32.4,47.26027397260274,49.6,54.400000000000006,42.8,64.04494382022472,78.0,31.2,15.6,13.600000000000001,30.0,49.6,28.523489932885905,29.292929292929294,28.57142857142857,28.125,37.33826247689464,4.531722054380665,7.491856677524431,2.4390243902439024,1.5151515151515151,1.4285714285714286,3.2467532467532463,10.880829015544041,1.4814814814814816,32.106050531914896,43.65079365079365,53.2,31.25,46.800000000000004,
3rd-Degree-Burn_L-3.1-Science-Writer-8B,3rd-Degree-Burn/L-3.1-Science-Writer-8B,results_2024-11-20T00-17-49.945335.json,45.544169152938125,50.078111438986284,80.4,61.49732620320856,47.199999999999996,40.8,56.39999999999999,41.6,72.0,38.0,39.6,58.8,66.0,50.4,45.6,49.31506849315068,55.2,66.4,43.6,69.10112359550563,72.8,34.8,21.2,17.2,31.6,50.4,27.432885906040266,28.78787878787879,26.55677655677656,27.901785714285715,40.85027726432532,10.27190332326284,18.241042345276874,4.0650406504065035,4.545454545454546,1.0714285714285714,9.740259740259742,23.83419689119171,3.7037037037037033,36.49434840425532,39.55026455026455,58.8,33.984375,26.0,
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,results_2024-10-10T16-33-29.207911.json,32.58528992087171,34.247526471098766,46.0,51.87165775401069,28.4,30.0,46.800000000000004,10.4,51.6,26.8,21.2,38.800000000000004,25.2,61.6,19.6,30.82191780821918,34.0,57.599999999999994,12.4,53.93258426966292,54.0,18.0,16.400000000000002,10.8,33.2,51.2,25.671140939597315,24.747474747474747,26.55677655677656,25.0,17.929759704251385,21.07250755287009,35.83061889250814,16.260162601626014,11.363636363636363,6.071428571428571,25.97402597402597,33.67875647668394,8.88888888888889,17.49501329787234,30.82010582010582,47.599999999999994,21.875,23.200000000000003,
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,results_2024-11-10T09-13-13.695538.json,32.00155662212998,33.153966325290746,46.0,52.406417112299465,32.800000000000004,30.0,52.800000000000004,21.6,48.4,25.2,14.799999999999999,37.2,25.2,42.4,32.0,23.28767123287671,26.400000000000002,32.4,22.0,53.37078651685393,46.0,23.200000000000003,16.0,15.2,34.8,48.8,25.587248322147648,26.767676767676768,26.190476190476193,24.330357142857142,27.911275415896487,6.193353474320242,14.332247557003258,1.6260162601626018,3.0303030303030303,1.0714285714285714,1.948051948051948,10.362694300518134,4.444444444444445,11.269946808510637,33.33333333333333,50.0,24.21875,26.0,
