fold,n_valid,gamma,lambda_,SSE,RMSE
2,103,0.125,0.0001,104.34159953387271,0.27915052986253447
2,103,0.125,0.001,98.92914215695836,0.27181400715590914
2,103,0.125,0.01,135.8905047920071,0.3185695539611148
2,103,0.125,0.1,170.86379070409953,0.35721914782091757
2,103,0.125,1.0,245.99614553235273,0.428621411984185
2,103,0.125,10.0,554.5056946544005,0.6435209896485876
2,103,0.125,100.0,806.3972174516248,0.7760402050726428
2,103,0.25,1e-06,154.314125770356,0.33947871756434256
2,103,0.25,1e-05,149.0123721651106,0.3335960315959597
2,103,0.25,0.0001,127.55596021356102,0.3086455996912696
2,103,0.25,0.001,102.41699221476199,0.27656404603085055
2,103,0.25,0.01,115.84359373146542,0.29413433414153695
2,103,0.25,0.1,157.01517496972366,0.3424368750883243
2,103,0.25,1.0,212.05018572666938,0.39795048660405147
2,103,0.25,10.0,464.0858196688048,0.5887200960623783
2,103,0.25,100.0,773.1213426459088,0.7598599290391973
2,103,0.5,1e-06,147.29035819455726,0.33166288232029323
2,103,0.5,1e-05,146.61938187693823,0.33090658040697524
2,103,0.5,0.0001,141.33549898215756,0.3248892486449905
2,103,0.5,0.001,123.39876394786161,0.303574379673124
2,103,0.5,0.01,112.90788945308485,0.2903834469596604
2,103,0.5,0.1,144.16531965107208,0.32812559715206896
2,103,0.5,1.0,195.54609181447924,0.382150367683842
2,103,0.5,10.0,400.4973026665691,0.5469019970468548
2,103,0.5,100.0,737.6691937650321,0.7422334710790242
2,103,1.0,1e-06,152.5608707026048,0.3375446981189804
2,103,1.0,1e-05,152.48057585534465,0.33745585926084204
2,103,1.0,0.0001,151.71257411500852,0.3366049513744188
2,103,1.0,0.001,146.2995894988877,0.3305455122936199
2,103,1.0,0.01,133.73500206434272,0.31603287052683293
2,103,1.0,0.1,142.95403547054056,0.32674422565618033
2,103,1.0,1.0,195.5317579977048,0.38213636133453605
2,103,1.0,10.0,381.9150670005466,0.5340637582111455
2,103,1.0,100.0,721.5832823529176,0.7340961441677377
2,103,2.0,1e-06,174.9869494332716,0.3615035292605942
2,103,2.0,1e-05,174.9764934911882,0.3614927286939147
2,103,2.0,0.0001,174.87295506923735,0.3613857602536975
2,103,2.0,0.001,173.92951324629118,0.360409601483012
2,103,2.0,0.01,169.06406182757954,0.3553328513813264
2,103,2.0,0.1,169.15518439440868,0.3554285975718975
2,103,2.0,1.0,221.23970717266488,0.4064819346978987
2,103,2.0,10.0,430.7558301098968,0.5671857271422287
2,103,2.0,100.0,748.5530697644843,0.7476890309837281
2,103,4.0,1e-06,238.6847492948253,0.42220371159106784
2,103,4.0,1e-05,238.68422488743528,0.4222032477850041
2,103,4.0,0.0001,238.6790276968415,0.42219865116221955
2,103,4.0,0.001,238.6315658766709,0.42215667153603414
2,103,4.0,0.01,238.48344689400525,0.42202563454911535
2,103,4.0,0.1,244.28368764492913,0.4271269211311647
2,103,4.0,1.0,313.0426283429814,0.4835166705314701
2,103,4.0,10.0,569.3878024688886,0.6520993858403484
2,103,4.0,100.0,805.1271310334488,0.775428827387226
3,102,0.015625,1e-06,88.80294994895449,0.2587866891658217
3,102,0.015625,1e-05,90.9650962459682,0.2619181711730299
3,102,0.015625,0.0001,123.71902264474659,0.30545446526526276
3,102,0.015625,0.001,163.15568149553727,0.3507755698074031
3,102,0.015625,0.01,188.3599696207993,0.3768968813095623
3,102,0.015625,0.1,245.0501169560097,0.42988836896425375
3,102,0.015625,1.0,571.4362703474891,0.656465851004498
3,102,0.015625,10.0,892.8491568301731,0.8205731161430907
3,102,0.015625,100.0,961.2801990435623,0.8514384063227118
3,102,0.03125,1e-06,105.55187523854228,0.2821377604401273
3,102,0.03125,1e-05,87.19560795426841,0.25643396233615023
3,102,0.03125,0.0001,99.61387682178265,0.2740868244676203
3,102,0.03125,0.001,142.47666849168024,0.32779333114394443
3,102,0.03125,0.01,175.95926699789976,0.36427914623061614
3,102,0.03125,0.1,211.59779999232808,0.3994696710562164
3,102,0.03125,1.0,446.9855529889388,0.5805972590500185
3,102,0.03125,10.0,832.6648289147477,0.7924344513360168
3,102,0.03125,100.0,953.2691657128642,0.8478831620544027
3,102,0.0625,1e-06,140.9655809594305,0.3260504325787488
3,102,0.0625,1e-05,99.79988569420962,0.27434260611701955
3,102,0.0625,0.0001,88.4738029069427,0.25830664909662787
